id,Titulo,Tipo,Privado,Descripcion
TMA-74E7,GCP GKE No Usa Nodos Reforzados,Amenaza,No,"Sin Nodos Reforzados, un atacante que exfiltre credenciales de arranque de un Pod de Kubernetes podría suplantar nodos en el clúster y comprometer los secretos del mismo."
TMA-616B,Identidad de AWS IAM con Mínimo Privilegio,Control,No,Asegurar que la identidad de AWS IAM tenga únicamente los privilegios mínimos imprescindibles para llevar a cabo sus funciones.
TMA-7717,Azure AKS No Integra Microsoft Entra ID,Amenaza,No,El clúster de Kubernetes no tiene habilitada la integración con Microsoft Entra ID para la gestión de accesos.
TMA-395C,Microsoft Entra ID Requiere MFA,Control,No,Exigir el uso de autenticación multifactor para todos los usuarios de Microsoft Entra ID.
TMA-502F,Recurso Azure Cifra Datos con Claves Administradas por el Cliente,Control,No,Asegurar que la información sensible procesada por el recurso Azure esté cifrada mediante Claves Maestras del Cliente (CMK) de KMS para mantener el control total sobre el cifrado y cumplir con los requisitos normativos.
TMA-9037,Recurso GCP Asegura Conexiones con Cifrado TLS Robusto,Control,No,Asegurar que el recurso GCP aplique conexiones de red con las versiones de protocolo TLS aprobadas y suites de cifrado sólidas para proteger los datos en tránsito frente a exposición.
TMA-3B53,Identidad de GCP IAM con Privilegios Excesivos,Amenaza,No,A la identidad de GCP IAM se le han concedido privilegios excesivos que permiten el acceso no autorizado a información o servicios sensibles.
TMA-3A93,Grupo de Seguridad Sin Restricciones en AWS RDS,Amenaza,No,El grupo de seguridad predeterminado de cada VPC permite tráfico entrante y saliente sin restricciones.
TMA-853E,Recurso GCP con Privilegios Excesivos,Amenaza,No,Al recurso GCP se le han concedido privilegios excesivos que permiten el acceso no autorizado a información o recursos sensibles.
TMA-7C0E,Recurso Azure con Mínimo Privilegio,Control,No,Asegurar que el recurso Azure tenga únicamente los privilegios mínimos necesarios para ejecutar sus tareas.
TMA-E301,GCP Cloud SQL Usa Dirección IP Pública,Amenaza,No,La instancia de base de datos CloudSQL está configurada con direcciones IP públicas.
TMA-A9BD,Cuentas de Servicio Predeterminadas de GCP IAM Sin Asignaciones Automáticas de IAM,Control,No,Aplicar la política de deshabilitación de concesiones automáticas de IAM para evitar la asignación automática de roles a las cuentas de servicio predeterminadas creadas en el proyecto.
TMA-AF26,Registro y Monitoreo,Control,No,"Mantener registros de auditoría detallados con marcas de tiempo para actividades como inicios de sesión, acceso a datos sensibles, modificaciones en el control de acceso y acciones administrativas."
TMA-C479,Recursos Azure Integran Microsoft Entra ID,Control,No,Habilitar la integración con Microsoft Entra ID para mejorar la seguridad centralizando la gestión de permisos y accesos.
TMA-AA70,Conjunto de Escalado de Máquinas Virtuales Azure Usa IPs Públicas,Amenaza,No,La instancia del Conjunto de Escalado de Máquinas Virtuales (VMSS) está configurada con direcciones IP públicas.
TMA-7327,Recurso Azure Accesible Públicamente,Amenaza,No,El recurso Azure no está adecuadamente protegido y permite el acceso anónimo o público sin restricciones.
TMA-BAB1,Recurso Azure Cifra los Datos,Control,No,Asegurar que la información sensible procesada por el recurso Azure esté cifrada para cumplir con los requisitos de seguridad y normativa vigente.
TMA-3106,Recurso GCP Expuesto a Redes Públicas,Amenaza,No,"El recurso GCP está destinado al acceso exclusivo desde redes privadas; sin embargo, es accesible desde la red pública."
TMA-B184,Monitoreo de Eventos con AWS CloudWatch,Control,No,Usar eventos de CloudWatch para recibir notificaciones ante eventos de seguridad inusuales en los recursos AWS.
TMA-CCB2,Tokens SAS de Azure Storage con Tiempo de Expiración Estricto,Control,No,Los tokens SAS para acceder a la cuenta de almacenamiento tienen un tiempo de validez reducido para minimizar el riesgo de acceso no autorizado por exposición del token.
TMA-D16B,Cuentas de Servicio Predeterminadas de GCP IAM con Asignaciones Automáticas de IAM,Amenaza,No,"A la cuenta de servicio predeterminada se le asigna automáticamente el rol de Editor al crearse, lo que puede conceder permisos excesivos en función del entorno."
TMA-ED94,Recurso GCP Cifra Datos con Claves Administradas por el Cliente,Control,No,Asegurar que la información sensible procesada por el recurso GCP esté cifrada mediante Claves Maestras del Cliente (CMK) de KMS para mantener el control total sobre el cifrado y cumplir con los requisitos normativos.
TMA-C0D3,Integración de WAF en Recursos AWS,Control,No,Integrar AWS WAF para proteger el recurso web frente a las amenazas y exploits web más comunes.
TMA-4476,Azure KeyVault No Usa Clave Administrada por el Cliente,Amenaza,No,"Las Claves Administradas por el Cliente (CMK), también conocidas como claves BYOK, no se crean ni emplean correctamente para cumplir con los requisitos estrictos de seguridad y normativa."
TMA-EF74,Azure KeyVault Usa Clave Administrada por el Cliente,Control,No,Asegurar que la información sensible procesada por el recurso esté cifrada mediante Claves Maestras del Cliente (CMK) de KMS para mantener el control total sobre el cifrado y cumplir con requisitos normativos.
TMA-293A,Cabeceras de Seguridad HTTP,Control,No,Implementar cabeceras de seguridad HTTP como la Política de Seguridad de Contenido (CSP) como capa de defensa adicional contra ataques XSS y Clickjacking.
TMA-E799,Recurso Azure Sin Dirección IP Pública,Control,No,Asegurar que el recurso Azure no tenga asignadas direcciones IP públicas.
TMA-D508,Grupo de Seguridad Sin Restricciones en AWS EKS,Amenaza,No,El grupo de seguridad asociado al clúster EKS permite tráfico no deseado hacia el mismo.
TMA-A334,Azure Function con Políticas de Acceso Permisivas,Amenaza,No,La función Azure tiene una política de acceso excesivamente permisiva que puede permitir a usuarios no autorizados invocarla.
TMA-DF41,Recurso AWS con Cifrado de Datos en Reposo Inadecuado,Amenaza,No,"El recurso contiene información sensible que no está adecuadamente cifrada en reposo, incumpliendo los requisitos de cifrado establecidos."
TMA-3005,GCP IAM Requiere MFA,Control,No,Exigir el uso de autenticación multifactor para todos los usuarios de GCP IAM.
TMA-8CAF,AWS API Gateway Autentica Acceso a la API Mediante Claves o Tokens,Control,No,Asegurar que el acceso a las APIs a través de AWS API Gateway esté autenticado mediante el uso de claves o tokens de acceso.
TMA-D84A,Habilitar Escaneo en Inserción en AWS ECR,Control,No,Activar el escaneo automático en inserción de imágenes de contenedor en ECR para detectar vulnerabilidades de forma inmediata.
TMA-3977,AWS EC2 Utiliza IMDSv1,Amenaza,No,"El nodo emplea IMDSv1, exponiéndolo a ataques de Falsificación de Solicitudes del Lado del Servidor (SSRF) que podrían derivar en el robo de roles IAM."
TMA-23DE,Aprobación de Acceso de GCP IAM Deshabilitada,Amenaza,No,"La función de Aprobación de Acceso, diseñada para aplicar validación adicional en los accesos, no está habilitada."
TMA-970D,Azure OpenAI No Rota las Claves de Acceso,Amenaza,No,La instancia del servicio Azure OpenAI no rota periódicamente las claves de acceso para cumplir con los requisitos de seguridad y normativa.
TMA-419C,Minimización de Datos,Control,No,"Recopilar, procesar y almacenar únicamente los datos personales estrictamente necesarios. Evitar la exposición excesiva de la información recolectada."
